IMG_FNAME;IDX_POLY;ID_POLY;SATELITE;BEAM_MODE;CENTR_KM_LAT;CENTR_KM_LON;UTM_ZONE;AREA_KM2;PERIM_KM;COMPLEX_MEAS;SPREAD;SHP_FACT;HU_MOM1;HU_MOM2;HU_MOM3;HU_MOM4;HU_MOM5;HU_MOM6;HU_MOM7;CIRCULARITY;PERI_AREA_RATIO;FG_STD;FG_VAR;FG_MIN;FG_MAX;FG_MEAN;FG_MEDIAN;FG_VAR_COEF;BG_STD;BG_VAR;BG_MIN;BG_MAX;BG_MEAN;BG_MEDIAN;BG_VAR_COEF;FG_DARK_INTENS;FG_BG_KS_STAT;FG_BG_KS_RES;FG_BG_MW_STAT;FG_BG_MW_RES;FG_BG_RAT_ARI;FG_BG_RAT_QUA;AREA_KM_DS;PERIM_KM_DS;CLASSE;SUBCLASSE
17 S1B_IW_GRDH_1SDV_20200709T001514_8b.tif;6;SP00289GXS1;SENTINEL-1;IW;19.540410430865094;-92.18842116905161;15Q;0.10830783746546219;1.963950490898238;35.612395381169016;0.5444788866280188;2.8339443801280155;3.0565157356575083;7.261342500980769;14.686079611729303;13.425975203720206;27.664549525875064;17.071268580822206;-27.60460905898312;0.3528650763268783;18.1330413094483;7.716723805811845;59.54782629518325;4;39;16.951557093425606;16.0;0.4552221228576491;10.101042291406058;102.03105537277374;20;84;40.44599303135889;38.0;0.24974148325581827;23.494435937933282;0.8749261541058317;DIFF;81512.5;DIFF;2.3859750941136393;1.0468413636798553;0.108307837466;1.9639504909;OIL SPILL;UNIDENTIFIED TARGET
17 S1B_IW_GRDH_1SDV_20200709T001514_8b.tif;7;SP00290GXS1;SENTINEL-1;IW;19.508137551279038;-92.2053862871993;15Q;0.07796633971408973;2.8348727073183633;103.0765750472473;0.6401716739974406;8.202573217876061;3.1008535817569074;7.332653070337714;12.857807974291923;12.172104157670093;24.687826012820466;15.851077279494284;-25.91376555363645;0.1219129623641367;36.360212852291404;6.164443999460553;38.00036982248521;8;39;21.403846153846153;22.0;0.2880063683485613;10.386647003030616;107.88243596556488;21;75;41.99381443298969;40.0;0.2473375458570162;20.589968279143534;0.8584655035685963;DIFF;98302.5;DIFF;1.9619751576958344;1.0456393887744764;0.0779663397141;2.83487270732;OIL SPILL;IDENTIFIED TARGET
17 S1B_IW_GRDH_1SDV_20200709T001514_8b.tif;8;SP00291GXS1;SENTINEL-1;IW;19.589412501100487;-92.20868598627973;15Q;0.09778448841298702;3.858045357544893;152.21753697794924;0.22489307729973165;12.113086717656993;3.1391719346237816;7.410207078137598;15.161208222316695;14.405962418431685;29.427543306837634;-18.492063203613323;-29.277876450353855;0.08255534062530247;39.454574239327876;5.054922148714706;25.552237929566502;10;39;23.590038314176244;24.0;0.2142820660734998;10.8395296810242;117.49540370580459;23;83;42.23064250411861;41.0;0.2566745149559838;18.64060418994237;0.8054056442399339;DIFF;153313.5;DIFF;1.7901896530087638;1.020317294106208;0.097784488413;3.85804535754;OIL SPILL;IDENTIFIED TARGET
17 S1B_IW_GRDH_1SDV_20200709T001514_8b.tif;9;SP00292GXS1;SENTINEL-1;IW;19.581542823653965;-92.49848130917668;15Q;0.5537073110757748;18.93954040224376;647.8263578483522;0.4634326987985795;51.552383558392165;3.1377697822804635;7.404757574651079;14.413405204069264;14.087407416621755;-28.337865208459796;-17.86087499594764;30.150391060377196;0.019397745186065424;34.20496717922492;5.90336949442092;34.84977138765951;12;54;33.39106901217862;34.0;0.17679486368848515;13.451872302634351;180.95286844638122;19;132;54.27261492832427;53.0;0.24785745666391262;20.881545916145654;0.7590680783974817;DIFF;11291349.0;DIFF;1.6253632044104247;1.013121068632196;0.553707311076;18.9395404022;OIL SPILL;UNIDENTIFIED TARGET
17 S1B_IW_GRDH_1SDV_20200709T001514_8b.tif;10;SP00293GXS1;SENTINEL-1;IW;19.600337927073134;-92.37638097343523;15Q;0.17793698803214286;3.803451200071667;81.29979714343258;0.25433733384432666;6.469632293872824;3.1385446461784086;7.410644806335313;14.111180041857438;12.908035073886555;26.50063473357141;16.63598050379019;26.666677439647405;0.1545682899083874;21.37527021298464;8.889609235200984;79.02515235457064;3;48;25.389473684210525;25.0;0.35012971697516315;12.367649129820627;152.9587449983529;22;97;53.41951930080116;52.0;0.23151928904824762;28.030045616590638;0.8471882546862421;DIFF;639013.0;DIFF;2.1040026258607423;0.99988269827677;0.177936988032;3.80345120007;OIL SPILL;IDENTIFIED TARGET
17 S1B_IW_GRDH_1SDV_20200709T001514_8b.tif;11;SP00294GXS1;SENTINEL-1;IW;19.4043646242043;-92.3204128571296;15Q;0.3157962890506301;7.387267477410297;172.80671963201777;0.8711796465234446;13.751521814465452;3.1527435481731145;7.396270364499027;13.692789697416519;13.729729460462096;-27.52423842006349;-17.554171068005076;27.68947217590878;0.07271922435145203;23.392508821488814;6.753801217509315;45.6138308856303;4;40;19.581947743467932;20.0;0.3448993586331176;13.027858631274054;169.72510051646185;17;133;51.506042395826455;50.0;0.2529384519811156;31.924094652358523;0.9288283055457215;DIFF;12676268.5;DIFF;2.630281883629663;1.0094892855074682;0.315796289051;7.38726747741;OIL SPILL;IDENTIFIED TARGET
18 S1B_IW_GRDH_1SDV_20200718T120032_8b.tif;0;OS03029GXS1;SENTINEL-1;IW;19.34252575559022;-92.16587509721069;15Q;17.609401472013417;218.44533538259972;2709.823194516586;0.2840228532015117;215.64087815619266;3.1592728337123264;7.435580001706989;15.74200876729846;14.9314232293803;-30.59816586691761;19.770859393502707;-30.321744024931355;0.004637339675808969;12.405040326315145;10.365855628307637;107.4509629069171;3;67;20.822185762076238;20.0;0.49782744937311657;21.922448607703178;480.5937529573869;6;255;54.77390734548318;51.0;0.40023525196821597;33.95172158340694;0.7460351038694917;DIFF;61494073867.0;DIFF;2.630555119013669;1.0399450775211605;17.609401472;218.445335383;SEEPAGE SLICK;CANTAREL
18 S1B_IW_GRDH_1SDV_20200718T120032_8b.tif;1;SP00295GXS1;SENTINEL-1;IW;19.293936194214933;-92.21050088875904;15Q;1.2396798044795483;18.730630250875237;283.0057473932096;0.1493233753503028;22.520881810522795;3.1530111429912955;7.424541444835354;16.682579881610714;14.665449120265345;-30.339808703074745;19.25061832562596;31.739052224836332;0.04440323466964575;15.109248519813447;7.060002052156639;49.84362897645595;3;50;13.340296699969725;12.0;0.5292237654783691;16.66175337186402;277.614025424822;10;255;43.981326674628164;42.0;0.37883698905053287;30.641029974658437;0.9071993913475946;DIFF;60349465.0;DIFF;3.2968776979846317;1.1587321536287618;1.23967980448;18.7306302509;OIL SPILL;IDENTIFIED TARGET
18 S1B_IW_GRDH_1SDV_20200718T120032_8b.tif;2;SP00296GXS1;SENTINEL-1;IW;19.392007349967606;-92.05777469005349;15Q;0.041264066625155714;2.8970985775979248;203.40167256329516;0.4096306496188706;16.186190810803787;3.159748941465849;7.434809391962272;15.61746950595379;14.491306297890786;29.548702610911942;-18.363858809957083;30.476405235426384;0.06178105841508618;70.20875096764635;4.468290482355724;19.965619834710747;19;44;32.32727272727273;33.0;0.13822045924047516;29.41469412778236;865.224230630994;15;255;78.53814064362336;74.0;0.3745275083765379;46.21086791635064;0.9600715137067938;DIFF;1836154.5;DIFF;2.429470042406797;1.038144462655026;0.0412640666251;2.8970985776;OIL SPILL;IDENTIFIED TARGET
18 S1B_IW_GRDH_1SDV_20200718T120032_8b.tif;3;SP00297GXS1;SENTINEL-1;IW;19.230393986146936;-92.30866805644575;15Q;0.9145884699833473;33.30075433510656;1212.5018800065452;0.299220068553423;96.48783385562892;3.1588135933869212;7.435184996510875;15.819386941484597;15.202436430344335;30.88709439246426;-18.9523263533584;30.842878760437134;0.010364000931933678;36.41064306847526;1.82650797989988;3.3361314006379406;4;19;8.281609195402298;8.0;0.22054988792684188;9.07515456726351;82.35843041972376;5;255;22.32137856601132;21.0;0.40656783542402775;14.03976937060902;0.9069225794480226;DIFF;164932066.0;DIFF;2.6952948441956766;1.2812028327410987;0.914588469983;33.3007543351;OIL SPILL;UNIDENTIFIED TARGET
